Id,ORIG_FID,Shape_Leng,X,Y,R
0,1,4194.203966,12357514.64,4267082.645,33
0,1,4194.203966,12357456.95,4267052.217,33
0,1,4194.203966,12357404.85,4267015.434,33
0,1,4194.203966,12357341.03,4267029.212,33
0,1,4194.203966,12357281.29,4267055.877,33
0,1,4194.203966,12357224.01,4267085.719,33
0,1,4194.203966,12357169.87,4267119.733,33
0,1,4194.203966,12357123.35,4267166.461,33
0,1,4194.203966,12357065.8,4267156.004,33
0,1,4194.203966,12357012.9,4267116.567,33
0,1,4194.203966,12356973.26,4267064.378,33
0,1,4194.203966,12356913.44,4267043.609,33
0,1,4194.203966,12356858.49,4267079.677,33
0,1,4194.203966,12356796.15,4267094.464,33
0,1,4194.203966,12356733.13,4267103.178,33
0,1,4194.203966,12356671.64,4267119.864,33
0,1,4194.203966,12356620.46,4267160.126,33
0,1,4194.203966,12356568.45,4267182.784,33
0,1,4194.203966,12356511.57,4267214.132,33
0,1,4194.203966,12356448.53,4267231.54,33
0,1,4194.203966,12356387.82,4267257.207,33
0,1,4194.203966,12356322.71,4267265.324,33
0,1,4194.203966,12356258.51,4267254.725,33
0,1,4194.203966,12356194.32,4267240.283,33
0,1,4194.203966,12356142.77,4267202.905,33
0,1,4194.203966,12357426.29,4266373.434,33
0,1,4194.203966,12357399.38,4266321.451,33
0,1,4194.203966,12357353.92,4266363.412,33
0,1,4194.203966,12357292.33,4266386.738,33
0,1,4194.203966,12357236.15,4266421.379,33
0,1,4194.203966,12357192.2,4266463.443,33
0,1,4194.203966,12357359.21,4266442.737,33
0,1,4194.203966,12357295.43,4266458.862,33
0,1,4194.203966,12357490.66,4266439.371,33
0,1,4194.203966,12357516.69,4266381.592,33
0,1,4194.203966,12357474.02,4266410.843,33
0,1,4194.203966,12357012.29,4266501.827,33
0,1,4194.203966,12356947.6,4266504.446,33
0,1,4194.203966,12356903.59,4266456.744,33
0,1,4194.203966,12356866.01,4266402.556,33
0,1,4194.203966,12356823.78,4266352.011,33
0,1,4194.203966,12356768.83,4266328.838,33
0,1,4194.203966,12356706.78,4266314.164,33
0,1,4194.203966,12356654.84,4266274.753,33
0,1,4194.203966,12356620.21,4266218.672,33
0,1,4194.203966,12356573.2,4266173.162,33
0,1,4194.203966,12357159.9,4266493.102,33
0,1,4194.203966,12357102.78,4266478.994,33
0,1,4194.203966,12357141.78,4266527.972,33
0,1,4194.203966,12356197.91,4266556.153,33
0,1,4194.203966,12356199.21,4266495.444,33
0,1,4194.203966,12356135.65,4266479.958,33
0,1,4194.203966,12356098.65,4266434.846,33
0,1,4194.203966,12356070.75,4266394.62,33
0,1,4194.203966,12356007.25,4266403.474,33
0,1,4194.203966,12355961.64,4266367.049,33
0,1,4194.203966,12355897.77,4266376.848,33
0,1,4194.203966,12355876.54,4266325.912,33
0,1,4194.203966,12355849.95,4266279.898,33
0,1,4194.203966,12355908.68,4266308.248,33
0,1,4194.203966,12355974.07,4266301.223,33
0,1,4194.203966,12356034.32,4266284.295,33
0,1,4194.203966,12356094.05,4266264.445,33
0,1,4194.203966,12356157.78,4266264.614,33
0,1,4194.203966,12356214.72,4266237.6,33
0,1,4194.203966,12356278.77,4266235.016,33
0,1,4194.203966,12356254.78,4266530.789,33
0,1,4194.203966,12356272.9,4266475.061,33
0,1,4194.203966,12355974.92,4267178.503,33
0,1,4194.203966,12355912.95,4267160.38,33
0,1,4194.203966,12355889.4,4267100.503,33
0,1,4194.203966,12355843.25,4267080.305,33
0,1,4194.203966,12355781.76,4267059.049,33
0,1,4194.203966,12355720.9,4267041.231,33
0,1,4194.203966,12355674.49,4267086.682,33
0,1,4194.203966,12355644.34,4267144.988,33
0,1,4194.203966,12355619.77,4267102.174,33
0,1,4194.203966,12355572.96,4267057.895,33
